"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-27","16.33",",,W",,,"0.10",",,W,2400","2.1",",,W","2.0",",,W","20","H,,S","38",",,W","3",",,W","  260",",,W","  240",",,W",,,"29.1",",,W","40.0",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-28","11.18",",,W",,,"0.00",",,W,2400","0.0",",,W","2.0",",,W","3","H,,S","8",",,W","-4",",,W","  200",",,W","  200",",,W",,,"18.1",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-29","13.65",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",I,W","5","H,,S","18",",,W","-2",",,W","  230",",,W","  240",",,W",,,"23.0",",,W","32.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-30","16.78",",,W",,,"0.00",",,W,2400","0.0",",I,W","1.2",",I,W","17","H,,S","32",",,W","11",",,W","  180",",,W","  160",",,W",,,"31.1",",,W","42.9",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-01-31","10.07",",,W",,,"0.00","T,,W,2400","0.0","T,,W","1.2",",,W","33","H,,S","35",",,W","30",",,W","  210",",,W","  210",",,W",,,"18.1",",,W","25.9",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-02-01","8.50",",,W",,,"0.69",",,W,2400","0.2",",,W","1.2",",,W","34","H,,S","43",",,W","30",",,W","  200",",,W","  180",",,W",,,"21.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-02-02","6.71",",,W",,,"0.22",",,W,2400","1.7",",,W","1.2",",,W","32","H,,S","37",",,W","22",",,W","  280",",,W","  290",",,W",,,"15.0",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-02-03","4.70",",,W",,,"0.02",",,W,2400","0.4",",,W","1.2",",,W","22","H,,S","23",",,W","19",",,W","   10",",,W","   30",",,W",,,"10.1",",,W","14.1",",,W",,,,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-02-04","4.92",",,W",,,"0.17",",,W,2400","1.8",",,W","1.2",",,W","18","H,,S","24",",,W","9",",,W","   50",",,W","   50",",,W",,,"15.0",",,W","17.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014860","ERIE INTERNATIONAL AIRPORT, PA US","42.08026","-80.18236","222.2","2014-02-05","13.65",",,W",,,"0.54",",,W,2400","8.1",",,W","3.9",",,W","22","H,,S","24",",,W","16",",,W","   50",",,W","   60",",,W",,,"29.1",",,W","40.9",",,W",,,,,,,,,,,,,,,,
